zone,season,month,month_name,days,ok_days,ok_day_rate,hot_days,rain_days,freezing_days
GUARDA,Winter,1,January,279,0,0.0,0,91,138
GUARDA,Winter,2,February,254,0,0.0,0,71,59
GUARDA,Spring,3,March,248,6,2.4,0,102,38
GUARDA,Spring,4,April,240,40,16.7,0,100,10
GUARDA,Spring,5,May,248,94,37.9,0,57,0
GUARDA,Summer,6,June,240,87,36.2,19,67,0
GUARDA,Summer,7,July,248,94,37.9,67,14,0
GUARDA,Summer,8,August,248,95,38.3,69,7,0
GUARDA,Autumn,9,September,240,123,51.2,4,56,0
GUARDA,Autumn,10,October,248,84,33.9,0,92,1
GUARDA,Autumn,11,November,240,0,0.0,0,107,17
GUARDA,Winter,12,December,248,0,0.0,0,92,63
VILA_REAL,Winter,1,January,279,0,0.0,0,113,35
VILA_REAL,Winter,2,February,254,9,3.5,0,92,17
VILA_REAL,Spring,3,March,248,25,10.1,0,115,4
VILA_REAL,Spring,4,April,240,67,27.9,0,107,0
VILA_REAL,Spring,5,May,248,90,36.3,7,77,0
VILA_REAL,Summer,6,June,240,78,32.5,34,81,0
VILA_REAL,Summer,7,July,248,69,27.8,93,24,0
VILA_REAL,Summer,8,August,248,64,25.8,111,19,0
VILA_REAL,Autumn,9,September,240,106,44.2,24,61,0
VILA_REAL,Autumn,10,October,248,95,38.3,1,105,0
VILA_REAL,Autumn,11,November,240,9,3.8,0,123,0
VILA_REAL,Winter,12,December,248,0,0.0,0,122,11
